,1_dallas,2_sanantonio,3_houston,4_corpuschristi,5_mcallen,6_laredo,7_delrio,8_sanangelo,9_sansaba,10_abilene,11_wichitafalls,12_amarillo,13_lubbock,14_midland,15_fortstockton,16_pecos
6775,14886.311181054705,7451.026884998312,12864.22191342937,1025.2114595565918,1674.3413843509607,367.2583155564676,299.45905474440434,273.0416373104852,358.106618207808,533.4329227595492,527.4467645407627,35.727377154919544,77.26369812258908,1277.6230818112494,54.94627436751033,264.7127002177692
6776,15928.281919107241,8080.139087345616,13420.966680342408,1102.3875572888348,1818.2495493288006,398.82384380450236,318.1481448327611,285.4537543486203,381.33701629551206,559.9322779699428,559.6432591817914,37.881773550336845,81.92277600592026,1309.0214937871817,56.29661452940524,271.2181857048629
6777,17158.3726541716,8917.619879699665,14478.994915438987,1230.6561494084779,2051.0139541012354,449.8795389077835,347.34958311851244,303.9186543365196,410.4579888297894,597.5938398115551,595.2555804130184,40.24211950137467,87.02723850914519,1355.9590960094536,58.31524303304949,280.9432600267753
6778,17939.77591599676,9682.868209179658,15243.213793332523,1342.896045496759,2262.0527302547184,496.1698272394375,370.26313668757683,315.07314117061395,427.4424155238975,620.1482773310252,614.646476628521,41.518578891612115,89.78769787803202,1381.7397735941154,59.42398332125637,286.2847984460755
6779,18203.607715957223,10180.288647021314,15693.660517129694,1420.4555560492838,2410.871488649307,528.8124693206925,384.7062894485784,320.24947526568434,433.63523673943496,630.0681332259652,618.3395882089892,41.73922066675538,90.26485575709997,1389.4806242345855,59.75689128854687,287.8886372497048
6780,18285.64981513479,10668.763412058757,16003.302765268292,1476.7573674942441,2519.460063461625,552.6308240761706,393.0328007967143,320.55693988974747,435.3029358005677,631.0781257113199,619.541780034753,41.81080315791908,90.4196593958936,1396.6071148627625,60.06337769671205,289.3651858532154
6781,18180.859846502863,10966.606617149255,16125.464599894673,1518.5028582800603,2604.3949324650753,571.2608580786496,397.6952030957536,317.89541499780864,432.8781249092621,626.2234261349959,614.4704313140841,41.456472474926535,89.65338711098458,1398.3125845921552,60.13672421730236,289.71854476135854
6782,18089.38520319765,11127.308587903239,16310.1497350891,1549.8729847156633,2664.4063820168003,584.424066061478,402.64809341162874,318.6162133545001,430.90437617679686,626.6866944015508,611.4779470002699,41.25959592305057,89.2276236857658,1404.1805139135238,60.38908413397197,290.93433010326413
6783,18119.775221110813,11235.194431914384,16453.439181001384,1575.590578341912,2713.563738564326,595.2064836327019,408.9383675355205,322.7090905512504,433.5264454577439,633.7939479085691,612.2388423316983,41.299471621839146,89.3138585062025,1415.2119829262203,60.863510536936616,293.2199572113622
6784,18346.910612731583,11291.389788392893,16558.708860606894,1587.2927956783087,2735.0084861765863,599.9102805759194,413.03351840867754,326.6135025902938,437.63310607530065,641.0935878840496,620.4146009226837,41.86753189729757,90.54234044732397,1423.5225432319248,61.22091980200534,294.9418350407193
6785,18714.71519313242,11325.528495355598,16812.150634157697,1607.9550144029,2768.884450105471,607.3408019538498,419.9936485188198,333.55143199481466,446.86238782098434,654.6900434795454,637.2194306950564,43.023774818497934,93.04282078296774,1440.442326638907,61.9485828151069,298.4474711054752
6786,19805.740668182087,11548.336386204744,17402.022856569565,1664.5977564389623,2867.4214145451706,628.9543868048266,437.11176966244545,348.8276119928366,470.31301493457164,685.6401656348662,676.0079146669788,45.66789994937646,98.76098153752567,1476.1910304613893,63.48601440700357,305.8543002813531
6787,20190.7177060827,11794.842993242388,17669.253733258294,1695.0411575668113,2922.1502797103967,640.9588866163687,449.98604122385433,362.59227609425085,481.27412051291077,710.2360755194986,686.881479113678,46.38985082418323,100.32226587722224,1513.182678588897,65.0769008556414,313.5186570081086
6788,20047.967099972277,11557.79083475421,17641.396036283837,1680.0875467151693,2891.094409500517,634.1469385345611,448.1537393459993,363.36543978613275,478.25173990270616,710.439967918747,678.410228759164,45.80194957525153,99.0508760288606,1520.8010574767773,65.40454172450836,315.0971207001028
6789,20228.183742294194,11411.676586830657,17938.887473893054,1704.3170013191516,2931.658026506309,643.0443627956234,453.17236952623875,366.47308324340617,480.66293188601844,715.9724249181152,674.4866636576501,45.49735792746955,98.3921689252621,1531.6541446844062,65.8712965256188,317.34578860641324
6790,19142.50510553262,10656.972487941646,17469.07593079422,1638.6269216820788,2809.1245347943104,616.1672610372832,432.3491626252158,348.20390493019784,454.2854207058291,679.4982185921879,638.7406599188333,43.098892547638016,93.20526969498185,1485.434099192857,63.88352772509183,307.76938597214723
6791,18637.165269747522,9986.81637738193,16626.42149072786,1530.2476364856707,2610.5755469523115,572.6165446112179,409.62726584001757,335.88333921435157,441.4072709148882,656.4899404442524,615.7570331097653,41.51218367026876,89.77386763101563,1443.6363110192103,62.08594534759723,299.10923766386014
6792,17134.45560873008,8997.948125329767,15420.608662523182,1388.529425135298,2354.4440741996214,516.435401313124,375.16965918440786,311.9188761549249,406.4261801618836,608.5219668487966,578.9510398151327,39.110267461422694,84.5795056695616,1384.1193495959951,59.526320886802125,286.7778264742933
6793,16574.755670026316,8631.741137659545,14909.41081266273,1330.5183658752926,2250.0927095273855,493.54645717441133,362.6918914052886,304.60319662807444,395.0012713799932,593.637150816603,556.6769383112885,37.5745437674897,81.25836369562836,1365.194379808776,58.71242154737315,282.8567327454509
6794,15774.165050883323,8162.856985292844,14226.923763886214,1247.0031423041264,2097.737876992186,460.1281951122485,343.5929165354139,292.54011946520984,377.523799342455,569.5337737834473,530.8394920800898,35.827444955630135,77.48010383052477,1334.9390055668896,57.41123959641025,276.5880750124403
6795,14658.895392542501,7482.931032960403,13227.334702429658,1125.806264108507,1877.1858105815772,411.7512146711558,313.5790468173057,271.36695468935125,351.43986372236276,528.7140745611421,504.21042650827053,34.08694843069503,73.71612201056394,1285.8062385954613,55.29820443535177,266.40818111467286
6796,15345.359842017107,7630.292465333169,13483.628331424656,1121.1629120469643,1856.4223355077627,407.19685141406893,315.6058530488911,276.98394243623414,366.5581735827825,542.1969739890685,525.5105757197749,35.5075047806017,76.78820414268884,1295.8291350088546,55.72925552086184,268.48484050770054
6797,16444.43907502236,8086.971046173319,13716.221842028128,1132.8066460334333,1871.6447260996686,410.5358058111695,327.03772700828387,293.1256254340669,394.0527748229278,575.7796071259887,563.0423870445369,38.01928750414294,82.22016242106199,1339.8919302703769,57.62424824000301,277.61427913390673
