,index,1_dallas,2_sanantonio,3_houston,4_corpuschristi,5_mcallen,6_laredo,7_delrio,8_sanangelo,9_sansaba,10_abilene,11_wichitafalls,12_amarillo,13_lubbock,14_midland,15_fortstockton,16_pecos
0,0.0,15982.4856561407,9223.47368855409,12486.21361703161,1153.40989932703,2590.586588696176,558.1214505986532,316.4268293723191,233.09391094052089,333.80153043013763,450.94080525464193,329.4945106531468,20.643704076176768,47.285578828240254,677.343423574507,27.911487545126164,125.94658876693124
1,1.2100000000000002,15855.42624239556,9150.147850209843,12386.949271284046,1144.240387852447,2569.991643685898,553.6844321124574,313.91126275156427,231.2408339968675,331.1478364005491,447.3558638642891,326.8750570677311,20.479588368903194,46.90966246242717,671.9586004528019,27.689593571902048,124.94532400272487
2,2.4200000000000004,15656.122583479171,9035.129942883175,12231.24457594275,1129.8572175426439,2537.6866945700212,546.7245855893797,309.96537934956774,228.33412284310361,326.9852882338905,441.73257382195334,322.7662179935785,20.222158714687403,46.32000519151159,663.5120405392955,27.341533719809803,123.37475378546696
3,3.630000000000001,15553.691961657412,8976.017351412636,12151.221314698632,1122.4650949563777,2521.083808080879,543.1476246293106,307.93742214747635,226.84024042993033,324.8459777997921,438.8425260483588,320.65451094505136,20.08985467320593,46.016955256302204,659.1709943743671,27.162650967356402,122.56757099292247
4,4.840000000000001,15624.168867318063,9016.689490840585,12206.280941722804,1127.551209995793,2532.5073457298645,545.6087357272527,309.33274852423455,227.86809917010797,326.3179202420158,440.83100977199416,322.10746100817767,20.180885844199302,46.22546733320227,662.1578306894545,27.285730400486415,123.12294930176506
5,6.050000000000001,15836.185669730949,9139.044138337813,12371.9176982501,1142.851851209428,2566.8729567321816,553.0125356029309,313.5303311784313,230.96022305639062,330.74598823124825,446.81299715897137,326.47839391963225,20.454736371730174,46.85273754880568,671.1431781436213,27.655992227540263,124.79370275023855
6,7.260000000000002,16101.814241520286,9292.338074934327,12579.438303086328,1162.0214992127226,2609.928450755891,562.288502245238,318.78933835480893,234.83423890023602,336.29376256979015,454.30762375450973,331.9545856810554,20.797834294554814,47.638622863556535,682.4006114419184,28.119880557093,126.8869323776992
7,8.47,16253.454536773595,9379.849511107968,12697.90630363512,1172.9649420191208,2634.507688531602,567.5839051867368,321.79156584710483,237.04581163286605,339.46083956391146,458.5861069843265,335.08079808347946,20.993699784353073,48.08726391282809,688.827181059972,28.384702081314177,128.0819015657008
8,9.680000000000001,16487.71619613959,9515.041639409304,12880.921710878742,1189.8709304090858,2672.478948200218,575.76451363263,326.4295599433609,240.46236194549238,344.35350157530684,465.1957260127784,339.91033039017253,21.296282779038094,48.78034747934635,698.7552734594316,28.793811873643765,129.92795089186995
9,10.890000000000002,16929.269407661744,9769.861478838126,13225.882303427987,1221.7365523283916,2744.0499073473343,591.1839123565424,335.1715845399818,246.90212151583827,353.5755425608909,477.65401097861366,349.01337997131947,21.86661295349671,50.08672119614501,717.4684555274429,29.56493141218538,133.4075173339604
10,12.100000000000001,17365.75607986332,10021.757424379544,13566.884694880287,1253.2365367158748,2814.799635736146,606.426383389984,343.8133000227641,253.2679889838805,362.69176655307456,489.9693451312754,358.01197790895765,22.430398955748643,51.378105114136126,735.96691585799,30.327202849612693,136.84715798740885
11,13.310000000000002,17536.69420182768,10120.405613668128,13700.428997816733,1265.5726480247124,2842.5068407219746,612.3956821990648,347.1975926237875,255.7610076691304,366.2618874934698,494.7923104713196,361.5360338074198,22.65119039464561,51.88384046812288,743.2113342320646,30.62572570549663,138.19419960626766
12,14.520000000000003,17500.092264378498,10099.28267858307,13671.833970758978,1262.9311917520959,2836.5740659135895,611.1175126537662,346.4729346910287,255.22719278378756,365.4974392718287,493.7595983198861,360.78144921224225,22.60391367051321,51.77555044141768,741.6601311116816,30.561804827153942,137.90576580046525
13,15.730000000000002,17319.85262828791,9995.266596423948,13531.022920031175,1249.9238169925807,2807.3591869483544,604.8233973756709,342.9044874668353,252.59851770866175,361.7330519502549,488.67419368470235,357.0656335392806,22.371107973683294,51.24229574601548,734.0215112624269,30.247037996379543,136.48542557213028
14,16.94,17093.902846758112,9864.871243053245,13354.50111362375,1233.6176728561634,2770.7351920114315,596.9330464913945,338.43105482906697,249.30319059959584,357.0139873130203,482.2990916747712,352.40745869094326,22.079260977769625,50.57380359556916,724.4456792003782,29.852443898272536,134.70487623652812
15,18.150000000000002,16943.47896051948,9778.061795092375,13236.983424755499,1222.762014780461,2746.3531208684717,591.6801215460226,335.452910227006,247.10935838246738,353.8723155780975,478.0549290426639,349.30632374528477,21.88496665707954,50.12876139854054,718.0706614287769,29.58974668598842,133.5194927017998
16,19.360000000000003,17037.57874858284,9832.366672191858,13310.49827597172,1229.552925118939,2761.605670077702,594.9661629881916,337.3159306746457,248.48174113257713,355.83763273492144,480.70992496235573,351.24628254065476,22.006510215459947,50.407163834927616,722.0586438975731,29.754080639982647,134.26102612565234
17,20.570000000000004,17680.69099399414,10203.505993193468,13812.925560982238,1275.9644812557547,2865.847150022261,617.4241677709961,350.04849137416505,257.8611049988643,369.2693264260823,498.8551346659207,364.50466794802264,22.83718318884287,52.30986754635679,749.3139694721785,30.877198771549295,139.3289357891704
18,21.780000000000005,18115.109597869465,10454.208458934336,14152.312287421499,1307.315219116052,2936.2616670937746,632.5944201696764,358.6492625184085,264.1968110674454,378.3423578644176,511.11211892129967,373.4606306425693,23.398297980154606,53.595132903695536,767.7247843319008,31.635858576557705,142.75227946875438
