,1_dallas,2_sanantonio,3_houston,4_corpuschristi,5_mcallen,6_laredo,7_delrio,8_sanangelo,9_sansaba,10_abilene,11_wichitafalls,12_amarillo,13_lubbock,14_midland,15_fortstockton,16_pecos
0,26140.917800620795,13016.041984056337,19522.24070770844,1862.9355225250056,3041.1365917676067,672.411132370924,520.9153240171318,450.76571577952717,638.3613481165323,898.5977663812014,856.3481550505644,58.006976332063516,125.40637311190194,1834.3662773733158,80.86600887963068,393.05529227945607
1,25527.58067723229,12790.634989646147,18900.98340765717,1794.3676955549197,2925.200498258196,646.7770585413059,506.3730918357839,442.01061466895214,624.0842924960563,880.5461400657323,838.3084989580442,56.7957139823983,122.78772225706413,1805.6909709899535,79.60188970712626,386.9109463706037
2,24449.37007624237,12184.69725599459,17843.379450172055,1683.6598161462196,2740.108823428004,605.8523256628457,480.45431148012153,423.74882932283333,598.678371411995,844.286658863525,806.8402911669269,54.67984341202845,118.21338187625678,1766.5432758943841,77.87610685870382,378.5226495905901
3,22569.08875676286,11158.978442130867,16333.96458395902,1507.7070136439095,2438.3349441893415,539.1285499507871,437.4685219154503,392.8209118911954,554.5405804961515,782.5242461016036,757.1183141185115,51.372694127097496,111.06359363719002,1695.758221066184,74.75562599133919,363.3553186394591
4,22159.98932068949,10896.101293740796,15914.279066275081,1451.0098614408787,2338.308361583736,517.012151805732,426.2343699446795,387.3482307028451,545.6098079841464,771.2384084303133,748.3144171485844,50.798793550167055,109.8228671861564,1687.0157623259915,74.3702243652656,361.48204517289264
5,21518.44189070636,10533.500150466212,15451.885934322554,1387.5984096080333,2225.798966000556,492.13573872673817,412.66150716273626,379.7073631350246,532.097811507431,755.1490266182284,732.2130904869532,49.72619325211397,107.50399242861744,1679.4184609332806,74.03530573453068,359.8541480858818
6,21506.015859326966,10604.983723257516,15356.999691199057,1374.1837042525276,2201.912060538017,486.8542195755161,417.3612463069522,390.1055452972544,534.7980497774186,772.0466515951315,738.6027257632662,50.199859213684434,108.52801977951867,1707.5066557321895,75.27354274206759,365.8726917935738
7,21957.52561719719,10831.515463836946,15372.1560906584,1380.4340249899012,2214.614782623049,489.6628575579436,431.62988969369707,411.1616861442671,549.02423578241,809.0542742464769,757.8601933942916,51.53559634947178,111.41577501556223,1777.8431688298042,78.37425014324079,380.9439123314305
8,22802.81719338565,11107.342321624858,15374.109260306503,1431.9813799353492,2321.8863748856443,513.3811650551413,445.30410196664616,419.60937769457456,568.8534933843833,828.4006071111775,772.0546003962786,52.40309417387085,113.29123487779637,1792.822474540674,79.0345962712564,384.1535741404995
9,24550.960425843034,12033.518099672607,16352.86127430437,1591.2202871998452,2611.3470850504855,577.3824349835346,487.12494777207127,450.2092063618486,611.2774139649405,889.110991963619,820.0109227130258,55.59644748286374,120.19500545623855,1865.199932218615,82.22527645735882,399.6621141376386
10,25425.764152777283,12550.875240459334,17126.12362217518,1691.9901986744076,2787.613389402077,616.3558325049535,509.6878371712002,464.23887101334697,632.4803043595177,917.5041569009479,841.4150379084941,56.999033492817546,123.2272825306182,1892.1430239237798,83.41303286127311,405.43529309088996
11,25225.94725023654,12542.181812996918,17412.67190584563,1716.4352863994104,2825.7907169676837,624.7970383780396,510.0467292390812,460.09836296634876,627.7510042000409,909.6114771027535,824.4691160951722,55.78164675180024,120.59539123893038,1875.9513888608465,82.69924253437622,401.9658617506799
12,24568.762065406245,12277.962078253728,17296.723708735066,1699.3103926487183,2794.8540877169235,617.9567885969035,499.1355310738152,446.61482652573443,611.2355588100646,883.5539553798294,793.7277525344679,53.639789307602214,115.96486934683976,1844.4063786251447,81.30861564088524,395.2066155897079
13,23702.74485665822,11912.577834908814,16856.86852312695,1662.5352942079978,2736.8333999987135,605.1281124910187,485.2710216602808,431.7898483169128,590.3275089214917,854.028089271979,762.989917929929,51.540433289736384,111.42623208769217,1801.1012353574204,79.39955628713611,385.92748962983006
14,23051.438397473023,11552.796611734639,16447.469400618807,1611.8829506123493,2648.9747316883754,585.7021035419045,470.61038710084983,419.383400914593,574.2131174728413,829.759557617393,739.2294702189633,49.91453155745489,107.91116455315017,1767.879832213965,77.93502746607683,378.8090376153379
15,22951.777629539196,11512.238935884163,16398.789557000957,1608.3515747762403,2643.7044169869164,584.5368095245453,468.5155758054492,416.7121904810504,571.7063099019902,824.8410587275082,728.6500955202436,49.149618868919,106.25748542553227,1762.4396722591712,77.6952040302465,377.64335784491584
16,23391.038141241246,11705.046368635452,16565.476948335916,1619.0227844080612,2659.1115080330396,587.9433975630141,471.8253842182349,420.0593287637493,581.0926900376821,832.9937666223419,741.0020174144504,49.97579319289473,108.0436072349999,1770.9806323144494,78.07172280961461,379.47345556982685
17,25404.18486547644,12617.754625628739,18132.68788359705,1733.0700615441074,2829.6879596053022,625.6587390139726,504.0986451313077,450.18682676827234,628.8192100504556,894.6649771679101,809.1098420882929,54.60538798682907,118.05241529218065,1840.600910441039,81.14085578410914,394.3912062421779
18,27141.75833982057,13722.000488977226,19458.71586579852,1876.3604242920742,3070.9081422699064,678.993777175462,547.3316257223395,488.9765439030961,673.3748618646736,968.6859640264448,872.3092610160408,58.928223735968174,127.39803520097689,1925.7415092767087,84.89418493455621,412.63454366774465
19,27968.73251679888,14259.65494625676,20179.23141587862,1960.3683728512815,3214.9726610185553,710.8471922599673,565.0974418770638,499.372775555353,691.6436803517064,990.5404512885402,897.8291073970533,60.65644305995204,131.13430506138198,1952.9492325670576,86.09360732927138,418.4644260429592
