Hour,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
31,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
32,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
33,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
34,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
35,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
36,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
37,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
38,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
39,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
40,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
41,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
42,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
43,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
44,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
45,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
46,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
47,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
48,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
49,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
50,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
51,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
52,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
53,0,364,727,1091,1455,1818,2182,2545,2909,3273,3636,4000,4364,4727,5091,5455,5818,6182,6545,6909,7273,7636,8000,8364,8727,9091,9455,9818,10182,10545,10909,11273,11636,12000,12364,12727
54,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
55,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
56,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
57,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
58,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
59,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
60,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
61,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
62,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
63,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
64,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
65,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
66,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
67,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
68,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
69,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
70,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
71,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
72,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
73,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
74,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
75,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
76,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
77,0,364,727,1091,1455,1818,2182,2545,2909,3273,3636,4000,4364,4727,5091,5455,5818,6182,6545,6909,7273,7636,8000,8364,8727,9091,9455,9818,10182,10545,10909,11273,11636,12000,12364,12727
78,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
79,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
80,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
81,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
82,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
83,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
84,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
85,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
86,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
87,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
88,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
89,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
90,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
91,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
92,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
93,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
94,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
95,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
96,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
97,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
98,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
99,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
100,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
101,0,364,727,1091,1455,1818,2182,2545,2909,3273,3636,4000,4364,4727,5091,5455,5818,6182,6545,6909,7273,7636,8000,8364,8727,9091,9455,9818,10182,10545,10909,11273,11636,12000,12364,12727
102,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
103,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
104,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
105,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
106,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
107,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
108,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
109,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
110,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
111,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
112,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
113,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
114,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
115,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
116,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
117,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
118,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
119,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
120,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
121,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
122,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
123,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
124,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
125,0,364,727,1091,1455,1818,2182,2545,2909,3273,3636,4000,4364,4727,5091,5455,5818,6182,6545,6909,7273,7636,8000,8364,8727,9091,9455,9818,10182,10545,10909,11273,11636,12000,12364,12727
126,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
127,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
128,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
129,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
130,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
131,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
132,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
133,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
134,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
135,0,673,1345,2018,2691,3364,4036,4709,5382,6055,6727,7400,8073,8745,9418,10091,10764,11436,12109,12782,13455,14127,14800,15473,16145,16818,17491,18164,18836,19509,20182,20855,21527,22200,22873,23545
136,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
137,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
138,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
139,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
140,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
141,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
142,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
