,1_dallas,2_sanantonio,3_houston,4_corpuschristi,5_mcallen,6_laredo,7_delrio,8_sanangelo,9_sansaba,10_abilene,11_wichitafalls,12_amarillo,13_lubbock,14_midland,15_fortstockton,16_pecos
6333,26695.88986604535,13455.452767752102,21085.740987970228,1895.603974549234,3213.3110637202885,704.8235321964122,529.5014233788919,453.10985828711057,631.6034424286264,897.3102380261903,890.910900584543,60.043095444453265,129.8486474573812,1677.3161805614461,72.13573108552319,347.52573086416066
6334,24616.63248753726,12437.333896339447,20222.683006578394,1807.183755297578,3058.0365263593067,670.7648476455854,497.29841590424525,420.8378665934178,582.0665179357228,831.9272993484615,814.2111296656703,54.84209392873661,118.6010092861552,1605.2781351032354,69.0376168865886,332.6000569286059
6335,22690.91896115437,11624.827255819007,19735.906977452465,1729.4300477551947,2909.8712855674867,638.2655513456759,473.62477294940294,401.1081065997565,537.7571024047731,787.4150330816665,758.0288225023211,51.127867151362274,110.56865652649086,1605.3987227990997,69.0428029580651,332.6250416796171
6336,20612.889988755807,10532.149282567732,18390.87352445618,1587.0711178685847,2658.0465207323696,583.0290626503918,435.14880595629523,370.3356958059163,489.82393947300676,724.8442710935686,695.5760948955236,46.960141592424335,101.55557146157616,1527.644182952964,65.69884154994106,316.5149584399801
6337,19751.884086558777,10036.695617377914,17801.792695055687,1520.9136605727087,2539.3822522534874,557.0006554416742,417.3764317014953,356.3969461781306,470.243268055635,697.1919596517736,665.3739779843658,44.909434502398405,97.12073111898472,1495.5732408202446,64.31957812652924,309.87013039065863
6338,18598.04867778287,9447.444318569578,17071.301779434714,1440.5998108958702,2395.868300319871,525.5215958313645,395.21145337987,338.48711094282805,443.7958287692249,661.244593550619,636.8701391697477,43.04438137408412,93.0873843310629,1454.2388338346018,62.54192421640132,301.3059907466269
6339,17173.286798249348,8702.761721626768,16130.904688421651,1323.0064025196264,2180.4979376501856,478.28119590210224,363.2871161522012,313.70917235632487,410.4599783355141,612.5652976329245,595.2328384197917,40.26817861526911,87.08359370982372,1395.7471319758788,60.0263927233449,289.1870046702289
6340,17648.958223191625,8983.45454218246,16491.435904047743,1328.4141810344147,2176.7670378838648,477.4628419054231,364.3595007488071,315.8291681603614,420.77492044511035,619.1460204103827,607.7598275064297,41.08530245137204,88.85069822263667,1398.4704081747975,60.14351167911092,289.7512444732798
6341,19085.54386149292,9752.012040487492,17116.896604289417,1364.0154099482559,2227.084442351432,488.49971012157573,378.8679243790531,332.6747964604532,454.8625232867908,655.9392599042085,660.204991415346,44.62453558483347,96.50461133312018,1435.3976163402408,61.73162678157772,297.402249784737
6342,19532.23374450089,9995.86845992016,17062.662478272967,1349.4412373198,2197.8631075835215,482.0901581117659,382.6662300121053,342.06332279167384,466.8271512631842,674.1684044122296,678.153951582692,45.842941659851135,99.13952513501204,1470.3820097479336,63.23618795155507,304.6507203049332
6343,19873.38755625293,10052.793362130096,17270.53641743743,1371.0563775700246,2236.0196393405577,490.45960039608127,386.3108967481381,343.29876591897573,473.6110320057389,678.2535200170954,685.868943802626,46.34144814792793,100.21759069353051,1483.0202263937854,63.7797151695782,307.26925193753164
6344,21113.64379776811,10484.117663741283,18268.81009951249,1478.7430792942237,2426.758970329746,532.2973080847144,412.34105948835594,361.72494758816987,502.76978404004683,715.8681066029151,729.5444110710206,49.29321451171224,106.60105355650309,1542.2674065824824,66.32773724627265,319.54476673631297
6345,23353.83890763521,11464.250456123471,19892.296940129625,1650.3002464625467,2729.9419187880385,598.7989546407409,453.5847388166513,390.80716760758713,552.9739606418113,776.5895156775327,803.0236631219352,54.24173278513204,117.30267378386357,1614.8962694486495,69.45126051605203,334.59285304342114
