,1_dallas,2_sanantonio,3_houston,4_corpuschristi,5_mcallen,6_laredo,7_delrio,8_sanangelo,9_sansaba,10_abilene,11_wichitafalls,12_amarillo,13_lubbock,14_midland,15_fortstockton,16_pecos
5133,29273.49003561312,16128.742078604537,23186.56001397213,1953.1048386646655,4126.517068693127,858.0564013825817,559.5736371065354,516.9520034840453,590.3559549781435,950.8484652394858,573.08274570853,33.202871311045165,69.42973918123796,4591.10995690201,154.20653954563002,746.4360557204914
5134,27839.105117765386,15326.865691160552,22436.48018808339,1931.3662410610784,4099.388559561505,852.4153751774661,544.4835816991939,493.29431007917634,560.9182863293422,906.6160943107691,548.5870641527877,31.81598378550605,66.52965146684016,4480.093839329799,150.4777220079744,728.3867313305523
5135,26362.98903872961,14509.62256100685,21646.240419591348,1798.8436737535928,3789.779603097608,788.0361559480729,510.506449965387,468.7234712040745,530.0479455666637,860.5885185380091,525.3514470905471,30.520914854885326,63.82156344540418,4432.190036323819,148.86872554263766,720.5983912329599
5136,23701.06314633348,13008.436546055718,19888.59735931336,1637.9640431309629,3443.3008866346536,715.9903420922699,466.78583222801603,431.11183557729805,479.29737136822195,789.0953128332048,477.4874950510479,27.77178448456965,58.07292192587565,4288.032509092349,144.0267518951974,697.1608397390534
5137,22415.978752422605,12286.316925746052,19172.609069310176,1561.413847470616,3274.255155180074,680.839446170509,444.57277290923867,411.1955195977846,453.21606051555113,751.4728513172324,457.07906268031553,26.62905342993642,55.68338403518443,4205.574235646487,141.25713733044978,683.7545329918321
5138,20962.058860687313,11468.732250473644,18235.970117347646,1464.1537730472976,3060.097398077952,636.308081988994,417.3069571467299,387.5178650738808,424.4761073992323,707.4174489344475,432.74509906732794,25.24668480283493,52.792745682469004,4115.058460267295,138.21688679701816,669.0382140648688
5139,19077.695910665854,10365.40211665847,16861.46439254684,1326.789634177984,2759.6885871531786,573.841915254497,379.9116295081489,355.8161626878543,387.3968980421315,648.8475479878945,395.74216494290624,23.097568853511,48.298780132502756,4006.1053699069935,134.55736236937807,651.3243026598849
5140,18899.08249865224,10180.279434404534,16726.79880558775,1302.186941081047,2701.460047812848,561.7340358752531,371.651336753842,347.8748723986281,383.07169143353923,635.647696496932,391.2905020647254,22.829158626839014,47.73751385354654,3957.5923745234513,132.9279043055731,643.4369182876508
5141,18704.63336778381,9985.63884241657,16459.33826663332,1269.842066465806,2628.739569887538,546.6127433768377,364.5255722909643,343.6211662612335,378.9521647254583,628.0426249999348,390.434437556642,22.799648827104622,47.67580660902375,3940.7041724030314,132.36066212828175,640.69118509953
5142,18878.247951294794,9998.98640084482,16518.52730484475,1260.8845910690868,2603.5842864550973,541.3820241968405,362.2587640405331,342.50146543551966,381.4862546873325,627.1138849791711,391.178898970088,22.824026031143912,47.72678120403875,3951.213558175634,132.71365215203556,642.3998317095625
